Name,Role,Stats,Awakening1,Awakening2,Awakening3,Speed,Specialty,Description
Cloud,DPS,Atk,Critical,Physical,Paralysis,36,Paralysis,"Can use Cross Slash: physical single target with 50% chance to stop the enemy for a few seconds.. His Limit Break: Climhazzard, is a powerful Physical Single target attack."
Zack,Tank,Atk,Tower,Tough,Honor,32,"Limit Break Specialist, Support, Paralysis, LB Booster","Opens with Taunt. Can use Cross Slash for 30% chace to stop. His Limit break is Modulating Phase. It will select one random effect depending on luck, from filling the LB of the party, or do several types of attacks."
Aeris,Healer,Spi,Ancient Lineage,Tempo,Gospel,30,"Revive, Support, Limit Break Specialist, LB Booster","Will use Renew if there is a K.O party member, or Healing Wind if not. Healing Wind is an AoE Healing spell. Her Limit break: Fury Brand, will give Limit Break Access to the whole party. It charges very slowly."
Yuffie,DPS,Atk,Drain,Physical ,Auto Haste,52,Fast,"One of the quickest characters. She can Spam Limit Break after one single attack. Her Limit Break is Bloodfest, a multi hit physical attack on Single target."
Vincent,DPS,"Mag, Spi",Darkness,Magical,Fury,39,"Fire, Ice, Aero, Thunder, Transformation, +3 Break","Has access to Fire, Blizzard, Aero and Thunder spells. Once he access his Limit break, he will transform in to Chaos he will boost his Mag by x1.5 and Speed by 10, gain Death Penalty, a powerful single target Magical Attack."
Barret,Tank,Atk,Temperance,Tough,Safety,30,Elemental Resistance,"Opens with Taunt. Resists all types of elements. His Limit Break Big Shot, it's a powerful Single Target Attack."
Tifa,DPS,Atk,Power Soul,Death Sentence,Comeback,46,"Limit Break Specialist, Water, Chain Attacks","She will charge up her STR with Battle Cry by x1.1. She gains Limit Break after a single turn, with it, she can make a combination from 2 to 4 attacks in a row in this order: Beat Rush, Somersault, Water Kick, Dolphin Blow"
Red XIII,Support,"Mag, Spi",Protector,Tempo,Sage Wisdom,34,"Fire, Haste","He specializes in hasting the party, doubling their speed. Has access to Haste and Fire spells, his Limit Break: Lunatic High, will haste the whole party for a long duration."
Cid 7,DPS,Atk,Protector,Tough,Gospel,41,"ATB Delay, Shield",Cast a Shield of 3 charges on Tank. His Limit Break Highwind is an AoE attack that will delay the ATB of all enemies.
Cait Sith,Tank,Atk,First Strike,Tough,Charge,30,"Buffer, Random Damage","Opens with Taunt. He will use Lucky Girl, boosting the Atk and Mag of all party members by 10%, stackable. His Limit Break dice will make him throw 3 dices. Depending how high he rolls, he can perform a devastating single target physical attack, or being a mediocre damage output."
Sephiroth,DPS,Atk,Last Resort,Critical,Lifestream,41,"multi hit, Jump, Secret Limit Break, Petrify","Sephiroth can use Octaslash, ST physical hit. Hell's Gate, an attack from the sky. His Limit Break needs to help of a LB Booster user. Supernova is an extremely powerful physical attack with 100% to Petrify all enemies."
Squall,Tank,"Atk, Spi",Tenacity,Gunblade,Lionheart,32,"Chain Attacks, Counter, Self","Opens with Taunt. When he gets attacked, has a chance of 20% to use Auto-Potion. His Limit Break Renzokuken is a 5-6 multi hit attack, 25% chance to follow up with Rough Divide"
Zell,DPS,"Atk, Spi",Energetic,Physical,Duel Mastery,41,"Chain attack Limit Break Specialist, Fire, Burn","He will Haste himself, if already hasted, he will haste someone else. He gains Limit Break after a single turn, with it, he can make a combination from 2 to 4 attacks in a row, in this order: Punch Rush, Booya, Heel Drop, and Burning Rave. 50% to Burn with Burning Rave"
Rinoa,Healer,"Atk, Spi",Cleanse,Tenacity,Angel Wing,39,"Dog, Counter, AoE","She has access to Angelo Recover, an AoE heal. Her Limit is Angelo Cannon, a powerful physical AoE. She has 50% to counter with Angelo when she is attacked."
Irvine,DPS,"Atk, Spi",Break Action,Anti Tank,Break Mastery,54,"AoE, Fast, Fire, Burn,+3 Break","Irvine has access to all types of Physical attacks, from single target, to AoEs to multi-hits. He gains turns very quickly. His Flame Shot has 30% to Burn. His Limit Break, Pulse ammo is a physical hit that allows him to act right away again."
Quistis,DPS,"Atk, Mag, Spi",Versatility,Gospel,Keen Eye,41,"Fire, Secret Limit Break, Burn","Quistis has access to Fire Breath (Fire AoE, 30% Burn), Powershot (Mag or Atk, depending which stat is higher), Ultra Waves (Magic AoE) Gattling Gun (Multi-hit physical) Laser Eye (Single Target Magic). Her LB, Shockwave Pulsar, it's an extremely powerful Mag Aoe. Needs help of LB Booster character to activate it."
Selphie,DPS,"Mag, Spi",Magic Tune,High Tide,Booyaka,32,"Chain Spells, All Elements, Finisher","Has access to All elemental spells. Her Limit Break Slots, will select a random spell and cast it from 2 to 3 times. Has a 10% chance to cast Full Heal, for a total restore on the party, and a 5% of casting The End, this will win the battle"
Kiros,DPS,Atk,Momentum,Physical,Chariot,59,"Aoe, Multi","Has access to Double-Hit, Blitz: an AoE Physical hit, and Quickhit, an attack that refunds 50% of his atb back. His Limit Break, Bloodfest, is a multi-Hit physical attack with high potency. Really fast character."
Laguna,DPS,Atk,Sleep Mastery,Versatility,Dreamer,38,"Sleep, AoE","Has access to Gunshot, a single target physical attack, and Sleep. His Limit Break Desperado is an AoE powerful physical attack."
Ward,DPS,Atk,Healthy,Tough,Honor,39,"AoE, Jump","Physical attacker. His Limit Break Massive Anchor, is a massive Jump Attack, that has full potency on top of being AoE. Physical."
Seifer,DPS,"Atk, Mag",Gunblade,Versatility,Fallen Knight,31,"Chain Attacks, Fire, Burn, +3 Break","Seifer has access to physicals and Fire Magic. His Limit Break, Demon Slice is a multi-hit physical attack that can follow up with 40% with Blood Fest"
Raijin,Tank,Atk,Paralysis,Drain,Loyal,30,"Counter, Self","Opens with Taunt. Raijin Special is a powerful physical single target. His Limit Break allows him to throw a Hi-potion to himself, fully restoring him. Can Counter on 70% Chance. Resists Thunder"
Edea,Support,"Mag, Spi",Charge,First Strike,High Tide,34,"Paralysis, Ice, ATB Delay","Has access to Stop, a garanteed paralysis for a few seconds. Ice Strike is a single target spell with Ice element with 30% to paralyze and 30% to freeze. Double damage is Enemy is already paralized. Her Limit Break Maelstorm, a powerful AoE Magic Attack that delays the targets, and has a chance to stop enemies."
Ultimecia,DPS,Mag,Magic Tune,Magical,Keen Eye,36,"AoE, Holy, Earth","Powerful Mage. She has access to Hell Judgement, a single target powerful spell. Shadow Flare, single target spell. Holy, AoE with Holy element, Earquake: Aoe Magic Earth spell and her Limit break: Ultima, AoE Powerful Magic spell."
Zidane,DPS,Atk,First Strike,Fury,Relentless,49,"Counter, Steal, Fast, Trance","Can Steal an enemy attack and use it against it. Has 50% Chance to counter with a physical attack. When entering trance, gains x1.5 Atk and 11 Speed, it will have access Free Energy and Shift Break, powerful Single target physical attacks."
Vivi,DPS,"Mag, Spi",Magic Tune,Magical,High Tide,31,"Chain Magic, Trance, Fire, Ice, Thunder. Poison, Burn, Freeze","Can Cast Blizzard Fire and Bio. When Trancing, he boosts his MAG by x1.5, and gain access to double cast. It will use Thunder, Fire, or Ice twice in a row, uninterrupted."
Steiner,Tank,Atk,Bodytemp,Tough,Last Resort,34,"Counter, Low HP Boost, Thunder","Opens with Taunt. Can use Thunder Slash, a physical Thunder attack. Shock, powerful non-elemental physical hit. His Limit Break is minus strike, gain potency based on how low his HP is. He can counter on a 50% Chance."
Garnet,Healer,"Mag, Spi",Alexandria Gleam,Red Soul,Pumice Stone,41,"Trance, Holy, Shield","Has access to Cure and Cheer, an AoE heal that will boost the attack of every party member by 15% (Stackable), that also gives x1 hields to 5 players. When Trancing, she gains x1.3 Mag and 4 Speed, and she will swap her kit to a DPS, casting Holy every turn. (AoE Magic attack). Becomes Fast."
Freya,DPS,"Atk, Spi",Burmecian Rage,Synergy,Jump Mastery,43,"Jump, Self","Can Jump in the air for one turn, Lancet can attack and restores half of the damage on to Freya. Fire Breath is an AoE Fire physical hit with 30% to Burn. Dragon crest, an AoE physical attack that gains potency the further in the stage is in."
Amarant,Tank,Atk,Rampant,High Tide,Tower,38,"Counter, Debuff","Opens with Taunt. No Mercy: Single Target. Has 70% chance to counter with Curse (15% Atk and Mag Down). When Trancing, gets massive +32 Speed and 50% Atk up. His counter chance goes from 70% to 100% when trancing."
Eiko,Healer,Spi,Rescue,High Motion,Guardian Mog,41,"Trance, Support, Revive, Comeback, Shield","Concentrate: AoE Heal that boost the MAG of the party by 15% (Stackable) that also gives x1 shield to 4 players. When Trancing, she gains access to Double-Cast: She will heal/revive twice in a row. Very powerful comeback"
Quina,Tank,"Atk, Mag, Spi",Slow Cook,Tough,Hot And Cold,31,"Finisher, Status Effects, Wind, Self Heal","Opens with Taunt. Large amount of attacks and Limits from other characters. Bad Breath (AoE 70% Petrify), Desperado, Lancet, Storm Breath (Wind AoE). When the enemy is at less than 30% HP, she will eat them, reducing the HP to 0."
Beatrix,DPS,"Atk, Spi",Tenacity,Healthy,Last Resort,33,"Healer, AoE, Secret Limit Break","Shock: Physical Single target. Climhazzard: Physical Single Target. Has access to Cure. Her Limit Break, Roses of May is a tremendous Physical AoE Attack that also heals the party. Can only be activated with the help of Supports like Aerith, Zack, Etc."
Marcus,DPS,Atk,Mug,Synergy,First Strike,49,"Steal, Late Game, Limit Break Specialist.","Can Steal an enemy attack and use it against it.His Limit Break: Thievery, is a single target physical attack that gains potency the further the party is on to the NG+ stages. When he uses Thievery, he drops whatever he stole, and will attempt to steal a different attack."
Kuja,DPS,Mag,Magical,Time Limit,Angel Of Death,43,"AoE, Fast, +3 Break","Powerful Mage. Flare: Single target non-elemental spell. Holy: AoE holy elemental spell. His limit Break: Flare Star, is a powerful AoE Magic Spell with. slow Charge."
Tidus,Support,Atk,First Strike,Physical,Wound,50,"Haste, Fast","Very Fast. He will Open up with Hastega. a short duration Haste effect on the entire party. Quick hit: Weak physical attack that refunds half of his ATB. Slice&Dice: Multi-hit. His Limit Break Blitz Ace, is a multi-hit physical attack, will allow him to attack again. "
Yuna,DPS,"Mag, Spi",Affinity,Cleanse,Pilgrimage,34,"Summon, Fire, Thunder, Ice, Delay, AoE, Burn","She has access to Valefor (Delays ATB of enemy), Ifrit, Shiva and Ixion. Her Limit Break, Bahamut, is a powerful AoE Magic Attack. All her summons use MAG to deal damage."
Lulu,DPS,"Mag, Spi",Manaburn,Magical,Know Pain,39,"Chain spells, Thunder, Ice, Water, Fire. Burn, Freeze, Poison","Can Cast Thunder, Fire, Ice and Blizzard. Her Limit Break, Fury: Will allow her to cast any of her spells from 2 to 3 times."
Auron,Tank,Atk,Break Mastery,High Motion,Trouble Maker,31,"AoE, Delay, Counter","Opens with Taunt. Armor Break: Reduces the DEF of the enemy by x0.8. His Limit Break: Dragon Fang, is an AoE Physical attack that reduces the ATB.Slow Charge. Can counter with 70% chance"
Kimahri,DPS,"Atk, Mag, Spi",Synergy,Tempo,Primal Roar,40,"Jump. Burn, AoE","Can Jump for one turn to avoid all damage. Seed Cannon: Single target Physical. White Wind: AoE Heal. Fire Breath: AoE Fire Mag attack 30% Burn. His Limit Break: Nova, is a powerful AoE Attack."
Seymour,DPS,Mag,Magical,Smirk,Death Embrace,37,"Summon, Paralysis, AoE","Has access to Anima. Pain has 30% chance to Stop the enemy. Oblivion is a AoE Non-Elemental Magic attack. His Limit Break: Requiem, it's a powerful Aoe Magical spell. "
Firion,Tank,"Atk, Spi",Tenacity,Courage,Wound,34,"Healer, Self",Opens with Taunt. Blood Sword: Will Attack and heal himself for half of the damage caused. His Limit Break: Wild Rose: is an AoE Heal the whole party.
Cecil (D.Knight),DPS,Atk,Tenacity,Dark Bow,Power Soul,38,"ATB Booster, Self","Darkness is a powerful Aoe Dark attack, Loses 15% of his HP. Valiant Blow is a physical Single target Dark Attack. Will lose 20% of his HP. Gives Full ATB to 2 allies. His Limit Break: Dark Cannon, powerful Single Target Dark attack. Transforms into Paladin Cecil."
Cecil (Paladin),Healer,"Atk, Spi",Tenacity,Protector,Kind Soul,38,"Holy., Transform, Shield","Can cast Cure. Can cast x3 Shield on Tank. Light Slash is a single target physical holy attack that recovers 15% of his HP. His Limit Break:Holy Flame, will deal AoE Physical damage with Holy element while also healing 20% of the party's HP. Transforms in to Dark Knight Cecil."
